,content
1099,　　2017年伊始，中国汽车业除了前行，还是前行，更高天际与更新的视野在等待我们。
1100,    南方日报讯 （记者/欧志葵）部分进口斯巴鲁XV汽车需召回，原因是这些问题汽车发动机控制程序设置不当。1月18日，记者从国家质检总局获悉，斯巴鲁汽车（中国）有限公司已向该总局备案了召回计划，将自2017年1月26日起，召回2016年1月19日至2016年11月30日生产的部分进口斯巴鲁XV汽车。据该公司统计，中国大陆地区共涉及483辆。
1101,    据介绍，此次召回范围内部分车辆由于发动机控制单元控制程序设置不当，如果在一键启动操作后极短时间内进行P挡到N挡的换挡操作，可能会造成启动机游星齿轮和液力变矩器齿圈发生不正常啮合现象，啮合时的冲击会导致游星齿轮损坏，从而造成发动机异响。严重时可能导致发动机不能再次启动，存在安全隐患。
1102,    斯巴鲁汽车（中国）有限公司表示，将为召回范围内的车辆免费升级发动机控制单元控制程序并检查车辆，如发现启动机游星齿轮损坏，将免费更换启动机和液力变矩器。库存车辆将在消除缺陷后进行销售。
1103,    斯巴鲁汽车（中国）有限公司建议，相关用户在启动车辆时如听见发动机异响，应立即停止使用，并尽快寻求经销商的帮助。在召回行动开始后应尽快联系经销商进行维修。
1104,"　　通过人人车买辆二手车 ,买来后隔三差五出故障"
1105,　　本报讯(实习记者陈圣禹)去年10月底，市民王先生在二手车交易平台人人车网站相中了一辆2012年出厂的大众帕萨特。该平台声称汽车经过了249项专业检查，然而车辆在办理完过户后开了没几天却出现了问题。
1106,　　记者近日联系王先生，“去年10月中旬左右，我在人人车网站上看二手车时相中了这辆帕萨特，随后工作人员就带我找原车主看了车，并将这辆车送到检测场做了检测。当时并没有检测出车辆有什么问题，于是我就花了13.5万元买下了这辆车。”王先生说，“本想着买了车后可以边拉专车，边还车贷，可没想到车没开多久就出现了亏机油的问题，于是我就把车送到了4S店保养。”
1107,　　可好景不长，王先生的车在跑了3000公里后机油报警灯又亮了。这一次，王先生听从专业技师的意见，给车换了一个原厂的气阀并加了机油。然而，车辆亏机油的问题仍频繁发生。无奈之下，去年12月王先生联系到了人人车的工作人员。
1108,　　“12月13日，我将车开到了对方位于草桥的修车点，当时负责修车的工作人员就告诉我，车辆确实存在烧机油的问题，而且还挺严重。” 王先生说，当时他尽管对购车时所谓的专业检查存在不满，但想着多一事不如少一事，就将车放在修理点大修。可让王先生没想到的是，本应在12月25日就可以完成的修理，却由于试车过程中再次出现机油压力过低的问题一直拖到了今年的1月2日，其间，车辆也从位于草桥的修车厂转到了其他的修理厂。
1109,　　1月3日拿到车后，车辆的发动机又出现了金属摩擦声，车辆在怠速时还会出现抖动的情况。无奈之下，王先生再次找到了4S店，经检测，车辆发动机有两个气缸检测不到点火现象，还有一个气缸存在气压过高的情况。
1110,　　王先生告诉记者，此后他又联系到了人人车平台，对于车辆出现的问题，对方提出的解决方案仍是送到指定的修理厂去修车，反复的返厂修理让王先生有些难以接受。而对于车辆本身是否存在问题，以及王先生提出的退车要求，人人车没有给出任何答复。
1111,　　截至发稿时，人人车给出的处理方案仍旧是检修车辆。王先生则认为，车辆在购买时就存在问题，但交易平台并未能检测出来。因此，王先生希望对方退款。王先生称，他将找专业机构对车辆进行鉴定，并通过法律途径维护自己的权益。J256
1112,"　　,中新网,1月19日电 19日，华汽集团、金宇航空、赛迪网构筑高质量汽车维修技师培训体系新闻发布会在赛迪大厦召开，三方聚焦人才培养模式全产业链打造和行业标准探索。发布会上，华汽集团、金宇航空、赛迪网三方在会上达成战略合作协议，今后将共同打造高质量、航空级的汽车维修技师培养体系，完善汽车后市场行业人才培养的产业链，为汽修技师培养带来全新理念和运营模式，为行业转型升级注入催化剂。"
1113,　　据介绍，当前我国汽车维修市场存在各种乱象，服务标准不统一、行业诚信度低、专业技能欠缺等问题显著突出，大大制约了我国汽车后市场行业发展。我国目前的人才培养体系正在经历一次全新的变革和洗礼，借助互联网技术和平台优势可以大大提升人才培养质量和效率，为产业转型升级注入新鲜血液的同时，还能全面提升人才素质，为我国综合国力提升培养中坚力量。
1114,　　华汽集团董事长魏同伟从“汽车后市场发展现状和与日俱增的专业人才需求”出发，结合华汽集团的业务优势和发展规划带来深刻分析和独家解读。魏同伟认为，当今的产业升级已成为必然趋势，对于每年市场规模达到8000亿元的汽车后市场行业更是如此。我国汽车后市场需求强烈，每年仍以30%的增长率高速发展，源源不断的市场需求意味着市场潜力巨大，从业者正可以大有可为。目前，汽车后市场的市场主体规模较小，且零散分布，个体均是单打独斗、闭门造车，全行业并未形成完善的统一标准和行业规范，大大制约了市场发展的脚步。这其中的典型代表就是人才培养模式的不完善，从业人员缺乏丰富的专业知识和高水准服务质量，直接影响广大用户群体的用户体验和满意度。
1115,　　正是如此，由华汽集团提供专业培训所需的硬件设备和场地环境，引入金宇航空成熟的航空人才培养体系和赛迪网的互联网+教育平台，三方将共同打造高质量、标准化的航空级汽车维修技师的培养体系。
1116,　　金宇航空是一家从事航空培训、航材保障、航空维修制造业务的专业航空器维修服务保障系统供应商。目前公司已取得航材分销商资质、中国民航CCAR147民用航空维修培训机构资质(含CCAR147培训五大类所有内容)、中国民航CCAR66部维修人员基础执照考试考点资质等，已成为提升航空公司员工技能及素养、优化高校就业水平、强化航空维修服务行业的优质企业。
1117,　　金宇航空总经理丁捷在致辞中提到，航空人才的培养模式是经过实践检验的较为成熟方案，而汽车维修技师的相关技能、素质培训可拿来作为直接参考和借鉴，这不仅能为汽车维修人才的培养注入新活力、提供新思路，更能为航空人才培养模式打开新市场。这最终会让金宇航空原有业务增加多个推广组合方案，拓宽推广渠道的同时，让更多用户群体了解航空人才培养模式，收获更多目标用户的关注和青睐。
1118,　　除此之外，培训课程和培训平台的建立是重要载体，互联网+平台则为此提供最大便利和最佳机遇。赛迪网总裁兼总编刘兴波围绕赛迪网的平台优势和丰富资源阐释了对“互联网+助力人才培养转型升级”的理解。赛迪网是工业和信息化部直属的中国电子信息产业发展研究院旗下最具影响力的创新网络媒体，深耕工业和信息化产业多年，借助强有力的政府关系和行业协会、联盟支持为广大行业用户和企业用户提供内容传播、在线培训、平台开发和流量服务，已成为助力产业升级和信息化水平提升的专业媒体之一。
1119,　　赛迪教育作为经过几年的发展，在教育培训领域逐渐完善了远程教育、面授培训、培训咨询、培训教材策划出版等多方面业务构成的服务体系。引入互联网平台可以明显提升人才培养的效率和质量，根据特定需求实现因材施教、个性化培养，塑造信息化时代的新型高素质人才。在今后合作中，赛迪教育平台将为培训提供在线课程服务，节省培训人力、物力和时间成本，便于管理的同时更具灵活性。
1120,　　据悉，未来华汽集团、金宇航空、赛迪网三方还将在航空创新应用、汽车后市场领域创新孵化等方向展开更多合作。
1121,"　　,中新网,郑州1月19日电(记者 赵晖)面对当前亟需解决的能源和环保问题，以及城市所面临的道路交通拥堵及停车位资源紧张问题，“新能源汽车+分时租赁”是一个不错的选择。19日，参加此间河南省政协十一届五次会议的政协委员卫祥玉、田国强、谭江等表达了相同的观点。"
1122,　　未来10年将是全球汽车产业转型升级的重要战略机遇期，世界主要汽车生产国都在纷纷加快部署，将发展新能源汽车作为国家战略，我国从中央到地方也出台了一系列推动新能源汽车产业发展的政策措施，不断加强新能源汽车的推广应用。可以预见，未来新能源汽车将会得到有效普及和推广。
1123,　　“如果将新能源汽车和分时租赁结合起来，那么便能解决两大问题，一个是能源和环保问题，另一个是城市所面临的道路交通拥堵及停车位资源紧张的问题。”卫祥玉说，为了应对停车位资源紧张和道路交通拥堵问题，许多城市采取了限行限购等措施，但停车位贵、停车位紧张、道路拥堵等问题仍然难以解决，并抑制了城市生活的体验感。“‘新能源汽车+分时租赁’的绿色出行系统，以无需钥匙解锁、手机一键操作、24小时随借随还、支持异地还车等高度便捷，已在重庆、杭州、成都等多个城市推广普及，建议河南也大力推行这样的绿色出行系统。”
1124,　　推行“新能源汽车+分时租赁”绿色出行系统，当然离不开新能源汽车产业的大力发展。在推行新能源汽车的发展方面，河南2016年9月20日就下发了《河南省“十三五”电动汽车充电基础设施专项规划》和《河南省电动汽车充电基础设施建设运营管理暂行办法》。
1125,　　“有了政策部署，就要通过形成龙头带动，打造新能源汽车制造和推广应用体系。”卫祥玉认为，河南应整合现有制造体系，以龙头带动，全面发展新能源汽车产业。
1126,　　针对充电问题对推广电动汽车造成的制约，国家电网和南方电网都提出了“换电为主，插充为辅”的发展思路，加快换电站的建设。卫祥玉建议，河南要抓住此机会，加快新能源汽车换电设施建设，形成新能源汽车推广氛围，同时，细化扶持政策，加大政策督导落实力度。(完)
1127,　　据外媒报道，一家律师事务所正在寻求把在英格兰和威尔士针对大众汽车的诉讼集中在一起，代表一部分客户进行美国式的集体诉讼。
1128,　　据英国《卫报》报道，这两地购买了大众汽车涉嫌排放作弊汽车的客户有大约120万，每辆车的赔偿金额可能为3000英镑，总索偿金额可能达到36亿英镑。
1129,　　这家名叫HarcusSinclair的律师事务所称，之所以要寻求赔偿，是因为客户所买车辆排放的氮氧化物超标，不符合排放条例规定。统计显示，英国每年因氮氧化物排放引起23000例早产死亡。
1130,　　大众与英国和欧洲客户达成的和解协议中，虽然承认在尾气排放中造假，但还没有赔偿英国客户，只是代之以修复受影响车辆，而此次集体诉讼就是寻求对大众对英国客户的赔偿。
1131,　　大众汽车公司对此表示，该公司将尽力为自己辩护。
1132,　　在大众面临来自英国的集体诉讼之际，有报道称，大众就排放丑闻一案与美国司法部已经接近达成和解协议，最快可能在下周宣布，大众可能需要为此支付超过40亿美元。消息人士称，相关谈判进入最后阶段，检方与大众汽车希望在美国总统奥巴马1月20日卸任前和解此案。消息人士称，如果没有在1月20日之前达成，协议可能会大幅延后。
1133,　　大众除了面对经济索偿外，1月10日，外媒还披露称，大众汽车公司一位管理人员被美国联邦调查局逮捕，因其在该公司尾气排放作弊丑闻中涉嫌欺骗美国监管部门。此外，韩国一家法院在1月6日判定大众汽车当地部门的一位管理人士有罪，涉及伪造文件、妨碍工作及违反环境法。
1134,　　对于大众工程师因“排放门”坐牢、高管因害怕被捕不敢去美国的传言，大众集团董事会成员、大众汽车品牌负责人赫伯特·迪斯8日在底特律表示，“不予置评”，“至少我来了”。
1135,　　大众“排放门”2015年在美国引爆。当年9月，美国环境保护署指认大众在部分柴油车上安装作弊软件，使汽车能在车检时以高标准过关。大众随后承认在销往全球的1100万辆柴油车上安装了专门应付尾气排放检测的软件。
1136,　　不过，德国大众汽车公司9日宣布，尽管受“排放门”影响，该公司2016年全球销量仍保持增长。根据大众汽车公布的统计数字，该公司去年汽车交付量达599万辆，比前一年增加2.8%。但在美国和西欧的汽车销量显然受到影响，其中在美国市场下降7.6%，在西欧下降2.0%，在德国国内下降7.2%。大众在亚洲销量增长11.8%，部分抵消了美国和欧洲市场的下滑。其中，在中国的销售增长了14%，中东欧地区增长了6.9%。
1137,
1138,　　左图 滴滴专车司机杨师傅，因为户籍不在北京，他说也许会离开网约车行业。 本报记者 袁 勇摄
1139,　　如果要给2016年的城市交通领域寻找一个关键词，那一定是网约车改革。作为新生事物的网约车管理一直是大家关注的焦点，随着2016年底各地新政的陆续出台，新的一年里，“有章可循”的网约车发展将会怎样——
1140,　　作为共享经济的典型代表，网约车改变了许多人的出行习惯，成为市民出行方式之一。同时，众多网约车平台公司借势崛起，成为引人关注的商业力量。2016年，从中央到地方，网约车政策陆续出台，宣告了网约车发展告别“无章可循”。曾经恣意生长的网约车必须重新调整自身定位。
1141,　　各地政策宽松不一
1142,　　2016年7月26日，国务院办公厅印发《关于深化改革推进出租汽车行业健康发展的指导意见》，首次提出将互联网专车纳入预约出租汽车管理，明确网约车的合法地位。2016年7月27日，交通运输部、工业和信息化部等7部委联合颁布《网络预约出租汽车经营服务管理暂行办法》，明确了按照高品质、差异化经营的原则，确立发展定位，有序发展网约车，并提出，各地应因地施策，结合本地实际制定具体实施细则。
1143,　　随后几个月内，各地纷纷出台网约车地方实施细则。据交通运输部消息，截至2016年12月30日，全国共有北京、天津、上海、重庆、杭州、宁波、大连、成都、厦门、福州、广州、合肥、深圳、青岛等42个城市正式发布了网约车管理实施细则，另外还有140余个城市已向社会公开征求了意见。
1144,　　记者梳理后发现，各地出台的网约车政策宽松程度不一，在落实中央政策精神的同时，也反映了各地在城市管理当中的不同诉求。
1145,　　细数各地出台的网约车管理实施细则，不同地区对驾驶员户籍、运营车辆牌照、车辆购置价格、轴距、排量、车长等方面都有所要求，其中最为普遍的是要求运营车辆为本地牌照。而综合来看，北京、上海等一线城市的细则趋向严格。以北京市出台的《北京市网络预约出租汽车经营服务管理实施细则》为例，要求网约车和驾驶员必须京牌京户。对此，北京市交通委曾表示，北京市的政策限制主要考虑了多方面的因素，如治理“城市病”、疏解非首都功能的要求以及治理交通拥堵的要求。同时，北京市交通委明确表示，网约车不能提供巡游出租服务，以体现差异化经营，巡游车和网约车要在客运市场竞争中寻求融合发展契机，通过“互联网+出租汽车”，逐步构建既相互独立、又相互补充，相得益彰的新型市场体系。对比之下，贵阳的网约车细则则宽松得多，除要求本地牌照并且车辆购置价格不低于中心城区出租巡游车价格外，细则对驾驶员户籍、运营车辆轴距、排量等都无限制，仅在车辆卫星定位装置、应急报警装置等安全性方面作出规定。
1146,　　低价网约车难以为继
1147,　　对于各地出台的实施细则所带来的影响，乘客和司机都深有感触，在政策趋于严格的一线城市，影响尤为突出。例如，北京、上海等城市对于司机户籍的要求，让网约车行业的从业者面临一轮大洗牌。北京的滴滴专车司机杨师傅告诉记者，他平时从事物流行业，业余时间出来跑专车，每月可增加五六千元的收入。然而尽管他的车型符合轴距、排量等要求，但是由于户籍不在北京，他将来也很可能无法继续从事网约车服务工作。杨师傅表示，他周围不少司机已经离开或者准备离开这个行业。
1148,　　在北京，记者发现，由于网约车实施细则尚在5个月的政策缓冲期内，大规模的网约车司机离职潮尚未出现，但是许多司机已经开始思考政策严格执行后的就业问题。“暂时先开着，但是政策正式实施后，我应该会转行了，因为我的户籍不符合运营资质条件。”来自河南的高师傅告诉记者，当前大部分司机都是“干一天算一天”的心态，“等政策正式落地或者严格执行起来，可能离职的人会非常多吧。”
1149,　　有多少司机会受到户籍要求的影响？以上海为例，根据滴滴方面提供的数据，在上海激活的41万滴滴司机中，只有不到1万人具有上海户籍。可以预见，在北京、上海等一线城市，在严格执行户籍要求的情况下，网约车数量将锐减，大量外地户籍的司机将不得不中止从事网约车服务。
1150,　　严格执行驾驶员本地户籍、车辆轴距等要求，将势必使得网约车数量锐减，这会否影响乘客的打车体验？是否会延长乘客的等待时间？是否将提高乘客的打车成本？对此，记者联系滴滴出行，对方表示尚不能提供这方面的数据变化。但是可以预见，实施细则落地后，低价化的网约车服务将难以继续。当前，在滴滴服务中，滴滴专车的价格与出租车相差不多，而快车则便宜得多，并一直以其低价化而深受乘客青睐。然而，按照多地网约车政策中对于轴距和排量的要求，多为价格便宜的低端车型的快车运营车辆，基本不符合要求。
1151,　　约车平台面临市场调整
1152,　　针对新政，各网约车平台已经开始积极应对，网约车平台公司易到对《经济日报》记者表示，各地政策细则发布后，易到一直按照政策要求积极开展资质申请，并对现有业务进行科学优化，采取了全国线下验车、开展司机背景核查、组织线上线下教育培训等一系列措施。据介绍，针对此次网约车新政考试，易到第一时间组织相关工作人员参加了预报名等网上申报流程培训会，熟悉和了解掌握流程以及注意事项。同时整理核心司机及车辆，比对新政细则要求，进行初步筛选，并要求各租赁公司积极主动组织司机进行报考等流程。新政颁布后，对新加盟的司机严格按照新政要求进行审核和筛选，对现有司机进行了排查摸底和资料补全工作，并做了有效归档。
1153,　　而在政策实施过程中，受益最大的可能是主打“自有车辆+专职司机”B2C运营模式的网约车平台，如首汽集团旗下的首汽约车。针对新政带来怎样的影响，首汽约车方面表示，由于公司的车辆和驾驶员本就符合实施细则要求，因此新政并未产生不利影响。首汽约车相关人士表示，“在北京实行单双号限行期间，首汽约车在京订单及用户数激增，限行首日订单同比增长20%，在随后的几天里每天都保持30%的周同比增长，用户数据方面显示，新增用户数周同比增长40%，充值用户数及充值额周同比增长50%。”首汽约车方面表示，首汽约车将进一步提升车队规模及服务城市数量，2017年首汽约车服务城市将达到60座，车队规模达到10万辆以上。
1154,　　随着各地实施细则的落地，外界普遍认为，作为市场份额最大的网约车平台，滴滴出行受到的影响最大，滴滴是否会调整业务布局也引人关注。事实上，在2016年12月21日，针对北京、上海发布的网约车新政，滴滴曾发表声明称，将致力于与各级政府合作，探索“互联网+交通”新模式，依托智能交通云平台和数据共享挖掘，促进城市智慧交通的建设发展。此发展方向也似有成果，1月5日，滴滴出行与贵阳市公交有限公司共同宣布展开深度战略合作。根据双方协议，双方将联合开发推进移动端智慧公交的服务产品“贵阳滴滴公交”APP，共同打造“智慧公交”运行体系。
1155,　　每次加油时只加半箱油可以省油？油罐车在加油站补油时最好不要加油？……这些常见的加油“秘籍”靠谱吗？南京市计量院的专家来告诉您。
1156,　　加半箱油能省油？
1157,　　损坏汽油泵得不偿失
1158,　　如果车子经常只在市区跑，是不是每次只加半箱油可以起到省油的目的？计量专家表示，从减轻车辆负荷的角度来说，每次只加半箱油的确能起到省油的目的，但短时间内不会有明显影响。不过需要提醒车主注意的是，应避免长时间、低油位行驶，一旦损坏了汽油泵将得不偿失。而且频繁去加油站加油，也会造成燃油浪费。
1159,　　补油时别加油？
1160,　　一般会暂停对应加油机
1161,　　油罐车在加油站补油时，最好不要加油？计量专家表示，的确有此一说，因为油罐车在补油时，会激起油罐里的杂质和少量的水，所以加油站一般会暂停该油罐相对应的加油机。如果油罐中的杂质和水达到一定的上限，加油站就会定期清理。
1162,　　油箱见底加油会毁车？
1163,　　保护油泵最好别等见底
1164,　　油箱见底再加油会毁车？计量专家表示，油箱见底再去加油，会将自己油箱中的杂质带出，造成油管的堵塞。出于保护油泵的目的，最好是在黄灯亮前就去加油，一般来说最好是油箱剩余的汽油还有1/4左右时便可以加油了，而不是等到油箱快没油了再去加。油箱报警灯亮了，到底还能跑多远呢？据悉，不同的车辆和车型有不同的续航里程，理论上来说一般是40-50公里。
1165,　　频繁启闭加油枪能偷油？
1166,　　试验证明结果差别不大
1167,　　在加油时频繁启闭加油枪能“偷油”？在计量日宣传活动中，江苏省质监局曾特别进行过试验，两次对比试验结果显示：正常状态加满一箱油需3次左右捏枪，在有意增加捏枪频次达到10次以上后，对最终的加油量影响不大。加油跳枪后有的车主为了凑个整钱，还会再加一点油，看似方便实则却给安全留下了隐患。因为汽油在不同温度时体积是会变化的，当气温升高时汽油也会膨胀，所以跳枪后最好不要再加油。扬子晚报记者 薛玲
1168,　　美国候任总统特朗普近日连续在社交媒体推特上发文，威胁将对在墨西哥设厂制造并出口美国的汽车征收高额关税。
1169,　　分析人士认为，特朗普之所以对福特、通用汽车、丰田等在墨设厂车企再三发难，是因为墨西哥作为全球最具吸引力的汽车生产地之一，已威胁到美国本土的汽车制造业。尽管墨西哥投资环境优势显著，特朗普的政策取向不免给这个国家的汽车产业蒙上阴影。
1170,　　在特朗普施压下，美国汽车巨头福特日前宣布，将取消在墨西哥投资16亿美元新建汽车加工厂的计划，转而向美国密歇根州的工厂投资7亿美元，用于生产混合动力、电动和自动驾驶汽车，并增加700个工作岗位。
1171,　　对此，福特首席执行官马克·菲尔茨表示，由于该公司中小型车销售额下降，取消在墨西哥建厂计划部分原因是希望全面利用现有设施的能力。但分析人士指出，福特取消建厂，很大程度上是因为福特无法抵挡来自特朗普的“威胁”。
1172,　　福特公司这一举动给墨西哥带来不小震动。在宣布取消建厂当天，墨西哥比索大幅走弱，美元对比索汇率突破1比21，再创历史新高。
1173,　　通用汽车公司的回应是，其绝大部分在美销售的雪佛兰科鲁兹轿车都是在美国俄亥俄州生产的，在墨西哥生产的科鲁兹掀背车型是面向全球市场的，只有少量车辆返销回美国。
1174,　　日本丰田汽车公司发表声明说，在墨西哥设新工厂并不会减少丰田在美国的汽车生产及提供的就业机会。声明还说，丰田2015年有16万辆在美国生产的汽车出口到了全世界40个国家，表明丰田为美国提供了大量就业机会。
1175,　　分析人士认为，低廉的生产成本、广阔的出口渠道，让墨西哥受到全球各大汽车厂商的青睐，而这自然会让美国原本就不景气的汽车制造业和相关就业市场承受更大压力。
1176,　　近年来，国际车企十分看好墨西哥市场，纷纷在该国新设厂房或扩大产能。这与墨西哥汽车业在出口方面的显著优势紧密相关。
1177,　　首先，墨西哥占据得天独厚的地缘优势，可辐射整个美洲市场。除北美自由贸易协定外，墨西哥还与40多个国家及欧盟签有自贸协定，为出口提供了便利。2014年，墨西哥超过巴西，成为拉美第一、世界第七大汽车生产国和世界第四大汽车出口国。
1178,　　其次，国际车企之所以青睐墨西哥，还在于它们格外看重墨西哥劳动力成本的优势。据德意志银行估算，在美国，生产一辆汽车的人力成本约为2400美元，而在墨西哥，人力成本仅为500美元。这意味着，一辆美国生产的汽车人力成本约占汽车销售价格的13％，而在墨西哥，这一比例可能还不到3％。
1179,　　墨西哥伊比利亚美洲大学经济学教授罗伯托·德拉瓦拉表示，墨西哥应着眼于开发新市场以寻求更多汽车行业投资，并关注如何留住现有的汽车行业投资者以及如何吸引更多外资。德拉瓦拉说：“美国的投资固然十分重要，但墨西哥汽车业不应局限于仅追求来自美国的投资，而应成为一个能吸引全球投资的国家，中国、韩国、日本、德国等都应成为墨西哥吸引投资的目标。”钱泳文
1180,　　德国戴姆勒旗下的梅赛德斯奔驰9日发布的最新数据显示，其2016年全球销量同比增长11.3%，达到208.39万辆，时隔12年重新夺得高档车全球销量冠军。宝马同日发布的最新数据显示，2016年宝马品牌全球销量同比增长5.2%，达到200.34万辆。大众旗下的奥迪2016年销量同比增长3.8%，增至187.14万辆，连续两年位居全球第三。
1181,　　至此，梅赛德斯奔驰和宝马连续6年，奥迪连续8年刷新了最高销量纪录。业内人士指出，虽然新车市场存在美国市场增长放缓等不利因素，但是在豪华车市场，三家德国厂商拉动市场增长的格局依然没有发生变化。它们在2017年将开始投放新车型，各家汽车厂商的竞争将越来越激烈。
1182,　　具体而言，2016年梅赛德斯奔驰销量最高的“C级”车表现坚挺，“A级”和“B级”等小型车的销量也增长了10%。2016年发售的新款“E级”车也十分畅销。宝马的SUV车型销量大涨22%，但其他车型则增长放缓。记者 张枕河
1183,    深圳每百户家庭拥有私家车超过70辆
1184,    广州日报佛山讯 （记者罗林）昨日记者从公安部交管局获悉，2016年汽车保有量数据新鲜出炉。截至2016年年底，佛山汽车保有量202万辆，成为全国第18个进入200万车城的城市，也成为继广州、深圳和东莞之后第四个进入200万汽车城的广东城市。
1185,    数据显示，2016年全国新注册登记的汽车达2752万辆，保有量净增2212万辆，均为历史最高水平。截至2016年年底，全国机动车保有量达2.9亿辆，其中汽车1.94亿辆，小型载客汽车达1.6亿辆。其中以个人名义登记的小型载客汽车（私家车）达到1.46亿辆，占小型载客汽车的92.60%。与2015年相比，私家车增加2208万辆，增长15.08%。数据显示，全国平均每百户家庭拥有36辆私家车，成都、深圳、苏州等城市每百户家庭拥有私家车超过70辆。此外，机动车驾驶人3.6亿人，其中汽车驾驶人超过3.1亿人。
1186,"　　,中新网,1月20日电 又是一年春运，游子陆续踏上回家路，今年公路与铁路客运仍旧是国人回家过年的主要途径，但随着居民收入水平的提升和消费观念升级，租车回家过年已经成为一种新的潮流。"
1187,　　神州租车近日发布的《2017春运租车大数据报告》(下文简称大数据)显示，租车热度正在从一二线城市逐步向三四线城市蔓延，三四线城市的增长率明显高于一二线城市，三四线城市的青年群体渐成租车消费主力。
1188,　　春节租车回家成潮流
1189,　　自2013年开始，春运租车回家过年已初步形成潮流，春运期间神州租车两年来总里程已超3亿公里，相当于地球到太阳跑一个来回。《法制晚报》的调查显示，17.7%的网友打算租车回家过年，票选数量仅次于坐火车的人数；超5成网友认为，租车回家方便，不仅能带着家人，还能顺便拉些年货；6成网友能接受总费用在3000元以内的租车服务。
1190, 
1191, 
1192,　　而2017年春运更是推动了这一潮流，由于火车票预售期由60天缩短为30天、加之春节提前，今年无疑成为“史上最难抢票年”。在一票难求的形势下，租车回家成为继飞机、火车等公共交通出行之后的又一主要出行方式。
1193,　　事实上，与火车、飞机等出行方式对比，租车在一定范围内也属于高性价比选择。大数据显示，在500公里里程范围内，租车自驾回家的性价比仅次于火车。而如果有亲友老乡结伴回家，无论价格还是体验，租车都成为性价比最高的选择。
1194,　　大数据显示，春节租车三大主力人群分别为务工人员、学生及白领。同时，用户对车辆的车龄及车型要求逐步提升，商务7座、SUV的需求增加明显。为此，近两年，神州租车增加了此类车辆的供给，并加快车辆更新，目前90%以上车辆均为2年以内的新车。
1195,　　春运期间，神州租车用户订单中有两次以上记录的高达76%，这意味着老客户更愿意选择租车回家过年，而且很多租车“老司机”都早早预定了回家车辆，以避开春运租车高峰。目前，多数城市的车辆预订率已达到70%以上。
1196,　　神州租车工作人员介绍，每年春节全国各地门店均会出现订单暴涨、一车难求的情况，受春运提前等因素影响，今年神州租车春节的预订量火爆程度明显高于往年，建议消费者至少提前半个月预订车辆。
1197,　　三四线城市增速超一二线
1198,　　数据显示，2016年居民人均可支配收入11886元，同比提升8.7%。消费力增长，居民加大出行服务使用频率。消费升级的大潮下，租车以其方便、自由等特点日益受到认可和追捧。
1199,　　报告发现，租车用户多为85后的年轻群体，而90年的用户增速远超70、80后。这意味着，汽车共享理念正受到年轻人的青睐，相比之下年轻人更愿意租车出行。
1200,　　随着80、90后消费群体的崛起，中小城市的青年人正逐渐成为租车消费的主力，租车“老司机”已经不是大城市的“专利”。从地域分布来看，北京、上海、广州等城市用户数依然位居前列；但值得关注的是，租车需求正在从一二线城市向三四线城市快速延展。
1201, 
1202, 
1203,　　大数据显示，三四线旅游城市租车需求火爆，增长率已经赶超一二线城市，其中，常德、九江、金华 、南通、腾冲位列前五名。租车火爆的三线城市均位于长江以南，或与南方城市的旅游需求多有关。
1204,　　神州租车相关负责人介绍，与平时相比，春节租车需求的显著特点是，大家都从一二线城市向天南海北的三四线城市流动，体现出大家从大城市出发归乡过年的现实。今年春节租车市场的一个显著变化：越来越多的消费者趁着春节到三亚、海口、厦门和昆明等旅游城市和地区过暖年。
1205, 
1206,    电动汽车发展，离不开充电服务专业化企业的“牵引作用”。近日，中国电动车百人会论坛举行，电动汽车充电行业备受关注。记者对国内充电基础设施领头羊企业——万帮新能源集团董事长、星星充电董事长邵丹薇进行了专访。
1207,    据介绍，万帮新能源集团目前在全国范围内已经建设有2.3万个充电桩，位列全国第三。目前大部分城市已经解决第一批充电桩建设，接下来要提高质量，实现更为人性化的服务。当下国内利用充电桩充电遇到一些问题，例如充电时间过长，效率较低。在邵丹薇看来，超高速高压充电将是下一个风口。
1208,    目标是做全球顶尖公司
1209,    记者：首先请您简要介绍一下万帮新能源。
1210,    邵丹薇：万帮新能源是2014年进入新能源产业，在建充电桩总量是23000个，全国排名第三，但是充电运营量，每天充电量是在80万度电，在全国排第一。接下来我们还计划在充电设备的制造和充电运营领域，我们目标是全球的顶尖公司。
1211,    我们的充电站有几个标配，第一，所有的车位是我们控制的，再也不会发生车位被占用的现象。第二，每个站里都会有司机之家，司机是有地方可以停留的。第三，我们充电厂站除了为司机的车服务，还将为司机这个人服务，以人群作为切入点，引进不断新的供应链，也就是说产品链，比如可以把这个司机之家当成是一个商业地产，有需要向司机朋友们展示或销售商品机会，这样的产品都可以进入我们的司机之家。
1212,    联手合作伙伴做大超级快充站
1213,    记者：您谈到万帮新能源90%的充电量由25%提供的，剩下的75%怎么样盘活？您谈到2017年做超级快充站，有什么样的计划？
1214,    邵丹薇：我们不能把投下去的资产扔掉，确实有75%的桩使用率很低，我们有一个计划，现在的运营模式是B2C，我们会把75%设备的全部拿出来，变成B2C2C，也就是说每个桩找一个专车的司机或者私人的客户，你对这个桩的盈利负责，这个桩的使用情况只要很小的抽成，大头的收益归他。
